,Instrument,ESG Score,Date,Environmental Pillar Score,Governance Pillar Score,Social Pillar Score,Carbon Credit,Carbon Offsets/Credits,Internal Carbon Price per Tonne Score Score,Women Managers,Women Employees,Gender Pay Gap Percentage,Water Recycled,Water Recycled Score,Energy Use Total,Policy Energy Efficiency,Waste Total,Waste Recycled Total
0,24CSm.BK,,,,,,,,,,,,,,,,,
1,24CSmf.BK,,,,,,,,,,,,,,,,,
2,24CSmol.BK,,,,,,,,,,,,,,,,,
3,24CSmva.BK,,,,,,,,,,,,,,,,,
4,2S.BK,,,,,,,,,,,,,,,,,
5,2Sf.BK,,,,,,,,,,,,,,,,,
6,2Sol.BK,,,,,,,,,,,,,,,,,
7,2Sva.BK,,,,,,,,,,,,,,,,,
8,3BBIFu.BK,,,,,,,,,,,,,,,,,
9,3BBIFuol.BK,,,,,,,,,,,,,,,,,
10,3BBIFuss.BK,,,,,,,,,,,,,,,,,
11,3BBIFuva.BK,,,,,,,,,,,,,,,,,
12,3K-BAT.BK,,,,,,,,,,,,,,,,,
13,3K-BATol.BK,,,,,,,,,,,,,,,,,
14,3K-BATva.BK,,,,,,,,,,,,,,,,,
15,3K-BATz.BK,,,,,,,,,,,,,,,,,
16,7UP.BK,,,,,,,,,,,,,,,,,
17,7UPf.BK,,,,,,,,,,,,,,,,,
18,7UPol.BK,,,,,,,,,,,,,,,,,
19,7UPss.BK,,,,,,,,,,,,,,,,,
20,7UPva.BK,,,,,,,,,,,,,,,,,
338,AOTf.BK,60.9336866313751,2017-09-30,57.6682424916574,31.0650406504065,82.8521074612719,,,,34.81,40.0,,4611344.0,92.8571428571429,2401801.2,True,30931.998,2581.47
339,AOTf.BK,68.7571282069522,2018-09-30,60.8954973118279,51.8518518518519,85.2597402597403,,,,34.9,39.76,,401000.0,31.25,2380950.0,True,31852.6,3055.08
340,AOTf.BK,65.8219768674149,2019-09-30,55.1146010186757,49.8430594703692,83.6526619931794,,,,35.1,40.22,,496000.0,6.25,2477920.0,True,35619.6,2762.66
341,AOTf.BK,59.9217629369631,2020-09-30,47.7244935682936,33.6481839673329,85.5552292999887,,,,33.11,39.96,,554000.0,19.2307692307692,1963310.0,True,26260.0,1599.06
342,AOTf.BK,55.5286567985781,2021-09-30,35.78190743338,42.4610086254435,77.5985177989117,,,,33.78,39.94,,406000.0,32.1428571428571,1646160.0,True,17746.5,770.013
343,AOTol.BK,53.5746358175601,2014-09-30,60.3247028862479,17.7158683610296,72.6188324014411,,,,35.761,36.8,,3734307.2,78.5714285714286,865543.644,True,25736.021,
344,AOTol.BK,56.4209159153134,2015-09-30,57.2896064925322,31.4978213507625,72.2618703997691,,,,35.714,39.0,,4272011.73,75.0,1705269.6,True,29114.939,
345,AOTol.BK,56.956879155287,2016-09-30,55.8227726574501,34.028644028644,72.8470847647866,,,,34.437,38.0,,4516238.0,78.5714285714286,2344500.0,True,26525.782,
346,AOTol.BK,60.9336866313751,2017-09-30,57.6682424916574,31.0650406504065,82.8521074612719,,,,34.81,40.0,,4611344.0,92.8571428571429,2401801.2,True,30931.998,2581.47
347,AOTol.BK,68.7571282069522,2018-09-30,60.8954973118279,51.8518518518519,85.2597402597403,,,,34.9,39.76,,401000.0,31.25,2380950.0,True,31852.6,3055.08
348,AOTol.BK,65.8219768674149,2019-09-30,55.1146010186757,49.8430594703692,83.6526619931794,,,,35.1,40.22,,496000.0,6.25,2477920.0,True,35619.6,2762.66
