"date","mkt","smb","hml","rmw","cma","E","S","G","Total"
2014-02-27,0.011733522,-0.009956832,-0.002603101,0.005274939,0.001938685,2.98439136314826e-05,-4.76478162069383e-05,-7.54588866808889e-06,8.96727452238638e-05
2014-02-28,0.005347906,0.003784054,0.00272552,3.93e-05,0.00036218,6.89814800731511e-05,0.000183159133235232,0.00010806284717548,0.000164153417192038
2014-03-03,0.004429583,0.000323549,-0.000542022,-0.00184284,-0.002874321,3.26577895616291e-05,2.42037704320524e-05,-0.000100659069221065,-2.30318202034865e-05
2014-03-04,0.002663906,0.007602711,0.004674194,-0.003765762,0.005578414,-7.24253424663347e-05,-4.97652923881658e-05,-2.74309733019752e-06,-5.95715570177964e-05
2014-03-05,0.002335911,0.001749998,0.003170794,-0.001369916,0.000420504,8.6403539572457e-06,-4.24013201278617e-05,-0.000121759131696739,-5.74704824485478e-05
2014-03-06,-0.00424713,0.007229818,-0.000651569,0.003065886,0.004489004,-5.27502965320631e-05,-0.000119117066361126,2.66832171821424e-05,-7.94411904944328e-05
2014-03-07,0.012018646,-0.00471669,0.001293528,-0.00040509,-0.005410057,-9.16553893426029e-05,3.16314992953947e-05,-5.08984738290415e-05,-2.562845050452e-05
2014-03-10,-0.005776038,0.008405028,0.002252181,-0.008090294,-5.61e-05,7.23372956652405e-05,-6.13224652842817e-05,-5.36303881475259e-05,-1.44532316477852e-05
2014-03-11,0.01085905,-0.000640172,-0.001896755,0.007976323,0.004619805,5.5367462701294e-05,4.09526483792123e-05,-5.16761081243598e-05,5.90637565323045e-05
2014-03-12,0.001041494,0.004467667,0.000684722,-0.000973732,0.000745026,-7.6096772479467e-05,-7.19166550840209e-05,-4.87263426979503e-05,-0.000101886868260602
2014-03-13,0.003966263,0.005999373,0.008392792,-0.003667217,-0.000721076,-6.954871251529e-05,1.10130351032896e-06,-6.34369554580558e-06,-7.40090034421697e-05
2014-03-14,-0.002928843,-0.00341637,-0.001688404,0.006815022,0.000155086,-9.497717322788e-05,-0.000494932515803802,0.000336187797975535,-0.000112778341403207
2014-03-17,-0.006563444,-0.005530575,0.003332467,-0.00324256,0.00944131,-9.37450575189267e-05,-0.000114095841315929,-2.33680222207731e-05,-5.29377071646379e-05
2014-03-18,-0.001871463,0.005128625,0.007771741,-0.000140939,0.012964914,5.25610701995734e-06,-3.14641080536436e-05,-1.19656458063728e-05,2.07917700825499e-05
2014-03-19,-0.000599079,0.000226883,0.00111833,0.008772596,0.001671197,0.000158665711610185,7.72622570879443e-05,2.45902547206408e-05,0.000141636259973139
2014-03-20,-0.00818483,-0.000528592,0.001341061,0.001666053,-0.000398271,5.02228048668966e-05,-1.4786606114776e-05,6.05192566142498e-05,4.89866200594912e-05
2014-03-21,0.003550987,-0.004299697,-0.002743962,-0.001455075,-0.000804602,3.34327835712613e-05,2.53474797489554e-05,6.91108175707128e-05,4.92949052063844e-05
2014-03-24,0.005026074,-0.001639686,-0.001835103,-0.001085022,0.000148722,3.14807719777229e-05,4.12481582215374e-05,3.69122415846122e-05,6.30050898084976e-05
2014-03-25,-0.003716373,-0.002404812,-0.002144059,0.005278546,0.000992668,2.93934243090594e-05,-1.56000720722182e-05,4.84299829175027e-05,3.25141072763766e-05
2014-03-26,0.011278103,-0.008337449,0.00264526,-0.004224277,-0.000570114,4.18593689507799e-05,0.000123501972129141,-2.94311796363577e-06,4.68103514053981e-05
2014-03-27,0.005625157,-0.003832344,-0.000751501,0.000162973,-0.002497549,2.42299347043195e-05,7.27849386286298e-05,3.501285767773e-05,6.12997439252502e-05
2014-03-28,0.010026343,-0.003770375,0.001924794,0.001215856,0.002762295,-6.30987170809997e-05,1.81840732220663e-05,1.0573397698389e-05,-3.9450419345029e-05
2014-03-31,0.006580648,-0.002067238,-0.004707854,0.002699468,-0.004239954,0.00010515018316499,4.28788087356484e-05,3.4868787434857e-05,7.00198666980041e-05
2014-04-01,-0.003939522,0.004849925,-0.004480838,0.002390512,0.000732139,-4.5040208803956e-05,-5.38263984605846e-05,-0.000129469876709927,-8.22098212118401e-05
2014-04-02,0.000496471,-0.001061751,-0.00211725,-0.004392874,-0.002901265,-8.44725150010407e-05,-5.66599817237127e-05,-1.56788280574751e-05,-8.14222280975812e-05
2014-04-03,-0.009476512,0.003149455,0.002806825,-0.002223352,-0.004626348,-1.60437891776805e-05,-6.55834437907934e-05,8.33116552102068e-05,-4.18941145271711e-05
2014-04-04,0.002091683,0.002768521,-0.00063297,-0.002453619,-0.003935548,-6.00053858259911e-05,-7.02823529628998e-05,-2.58921566371017e-05,-7.13886458879734e-05
2014-04-08,0.005781091,-0.005709348,0.001037693,0.001565148,-0.001046655,4.8504314767874e-05,4.55881450898441e-05,2.12565521701596e-05,7.26367797856761e-05
2014-04-09,0.001555741,0.004689073,-0.009094244,0.005344465,-0.000290134,-4.99832252695608e-05,-4.62213678558168e-05,0.00012201293697431,7.61454836831045e-06
2014-04-10,0.009421359,0.000625644,0.00339334,-0.000223452,-0.000790444,0.000113786730863791,3.74041071697661e-05,0.000167119514474421,0.000110782520754608
2014-04-11,0.005124416,-0.002276934,-0.002049292,0.000468234,0.000236506,-3.80460686068848e-05,-9.25989902589746e-06,-0.000114254690848289,-6.60331560682465e-05
2014-04-16,0.001178948,-0.000363098,-0.000411781,0.002332525,-0.000850262,-9.07937781928193e-06,3.72110697666998e-05,-3.2897337115852e-05,1.25975471103464e-05
2014-04-17,0.004156476,-0.002239905,0.001482657,-0.000225592,-0.000601409,0.00012857502322563,5.65913851185226e-05,7.83791529508283e-05,0.000100529005931104
2014-04-18,0.001340221,0.00101228,-0.000865261,-0.005481281,-6.55e-05,-2.90269942731915e-05,-6.22156131128565e-05,5.84535771657299e-05,3.90240315781139e-06
2014-04-21,0.005621793,0.004328989,-0.000900638,0.003970401,-0.003986947,-4.78619318024109e-05,2.19367235825996e-05,2.4362607933142e-05,5.41453634334873e-06
2014-04-22,-0.000479676,0.000644179,0.002850693,0.003066319,0.002469462,-1.26107654760461e-05,2.33915658868659e-05,-1.31108837887136e-05,4.56912404582756e-05
2014-04-23,-0.010084525,0.007342575,0.002015838,0.00191404,0.005039841,-0.000109580276161145,-0.000127152117887557,-0.000102198749307538,-0.000138183321163977
