,G,E,S
25/12/2015,0.036578464,-0.033309454,-0.011705238
28/12/2015,-0.070127241,-0.004795756,-0.027014828
29/12/2015,-0.044474725,-0.034384517,-0.026941094
30/12/2015,0.133369159,-0.160197589,0.009803057
4/1/2016,0,0,0
5/1/2016,0.013796244,0.038943867,-0.032444707
6/1/2016,-0.125410099,-0.049274638,-0.114292301
7/1/2016,-0.130165953,-0.152510897,-0.062768867
8/1/2016,0.00974448,0.018449063,0.119379555
11/1/2016,-0.06202426,-0.069389802,0.011777169
12/1/2016,0.065996612,-0.005240226,0.064717836
13/1/2016,0.038307473,0.314482139,0.035836747
14/1/2016,-0.005347065,-0.163975461,-0.127078408
15/1/2016,-0.131376075,-0.227687563,-0.066954879
18/1/2016,-0.135090615,-0.157858249,-0.068749511
19/1/2016,0.182066686,0.186676168,0.200546529
20/1/2016,0.005571496,-0.203619252,-0.093917855
21/1/2016,-0.079900305,-0.094300279,-0.134858215
22/1/2016,0.172442842,0.187337072,0.215268364
25/1/2016,-0.041222578,0.179343824,-0.055488559
26/1/2016,-0.022977988,-0.019388833,-0.018339918
27/1/2016,0.140599706,0.20318133,0.106724012
28/1/2016,0.061709525,0.05771086,0.179281828
29/1/2016,0.155659967,-0.031142289,-0.050740129
1/2/2016,-0.137133217,-0.038793953,-0.028175448
2/2/2016,-0.032916414,-0.160171174,-0.054506893
3/2/2016,0.224140468,0.173532765,0.099269651
4/2/2016,0.008747316,0.142951649,-0.122206872
5/2/2016,0.060194482,-0.025260005,0.007015267
8/2/2016,-0.133125893,-0.174589172,-0.076562101
9/2/2016,-0.006674576,0.031491406,0.09868481
10/2/2016,0.031927495,-0.028162711,-0.039149857
11/2/2016,-0.113190248,-0.097119177,0.071141162
12/2/2016,0.131299992,0.0738683,0.072913371
15/2/2016,0.194977192,0.195546821,0.136154786
16/2/2016,0.088979785,-0.087976657,-0.040534347
17/2/2016,-0.012313714,0.043174221,0.054411217
18/2/2016,0.145057344,0.305762741,0.229268596
19/2/2016,0.135864195,0.031196304,0.089178844
23/2/2016,0.098372283,0.039694394,0.134714429
24/2/2016,0.045959209,-0.035246788,-0.016423709
25/2/2016,-0.035472319,0.053095559,0.090485502
26/2/2016,-0.012561867,0.079542739,0.036050785
29/2/2016,-0.014898482,-0.126997497,-0.046542106
1/3/2016,0.132263494,0.286164268,0.181656059
2/3/2016,-0.081549207,0.110974656,0.187755845
3/3/2016,0.107019453,0.193705303,0.120866162
4/3/2016,-0.137475892,0.018298648,0.041852627
7/3/2016,0.338944094,0.287645149,0.142974292
8/3/2016,-0.047780193,-0.001093156,-0.200456617
9/3/2016,0.052921935,0.058812957,0.030702866
10/3/2016,0.024809515,-0.101588781,0.012465788
11/3/2016,-0.015347298,0.038515766,0.091440461
14/3/2016,-0.058641865,-0.006536101,-0.181124354
15/3/2016,-0.175480669,-0.073565987,-0.060666167
16/3/2016,0.048351188,0.014992482,0.062087324
17/3/2016,0.030445753,0.304878259,0.092467052
18/3/2016,-0.147641817,-0.131958681,0.070103578
21/3/2016,0.022913255,-0.046958471,-0.084860665
22/3/2016,0.118763464,-0.010827481,0.230354669
