,pf
2015-09-15,0.014120490728027457
2015-09-16,0.12815444942576648
2015-09-17,0.010017041107344471
2015-09-18,-0.039454001153806706
2015-09-21,-0.07201194382979959
2015-09-22,-0.005467821325473077
2015-09-23,0.028079716301024016
2015-09-24,0.03403476217683976
2015-09-25,-0.03590663139397343
2015-09-28,-0.06840382072444506
2015-09-29,-0.034994106288321
2015-09-30,0.08816144336491105
2015-10-01,-0.06362455543398426
2015-10-02,-0.023142876628296505
2015-10-05,0.04679066174646063
2015-10-06,-0.03517870186630667
2015-10-07,0.3253052205312017
2015-10-08,-0.14466769211230224
2015-10-09,0.04060789000884446
2015-10-12,-0.05531402932959173
2015-10-13,-0.14525399160171226
2015-10-14,-0.13593690122445667
2015-10-15,0.0667721362509145
2015-10-16,0.16442914164720723
