,pf
2015-07-24,-0.11611656668184434
2015-07-27,-0.05801106351239471
2015-07-28,0.13011863144552704
2015-07-29,0.0008926862793913193
2015-07-31,0.050483854567700104
2015-08-03,-0.0705330664794388
2015-08-04,0.06706493119141632
2015-08-05,0.0009867714385054516
2015-08-06,-0.07561856936721278
2015-08-07,-0.06620175235014547
2015-08-10,-0.10767140498755756
2015-08-11,-0.05289163561424848
2015-08-13,0.20343637196548037
2015-08-14,-0.03148469677515042
2015-08-17,0.0067979751113529385
2015-08-18,0.023053470256466757
2015-08-19,-0.03474724256102857
2015-08-20,-0.19303595487665914
2015-08-21,-0.03212148811090476
2015-08-24,-0.12257737521109491
2015-08-25,0.0940140788794338
2015-08-26,-0.2717655742535441
2015-08-27,0.18647043898314553
2015-08-28,0.12856954206918692
2015-08-31,0.04129663819579987
2015-09-01,-0.23435426254371128
2015-09-02,0.08339968362886618
2015-09-03,-0.1827602608069795
2015-09-04,0.16727234507051325
2015-09-07,0.0480837739668033
2015-09-08,-0.09221264550462305
2015-09-09,0.06110185471380836
2015-09-10,0.06661190132788586
2015-09-11,-0.06765748571043595
2015-09-14,-0.17203287120276411
